Titulo,TEMA,LINK,Fecha
"“Puedo vender mirando la cara de una persona, es muy fácil”",Podcast,https://www.youtube.com/watch?v=_kevP_Tlfgg,23/10/2024
Vender por telefono - Bryan Tracy,Podcast,https://youtu.be/XEg2b308QlI?si=kT14fV0fsx7SscSM,
Un paso por delante de Wall Street,Libros,https://drive.google.com/file/d/1dGqcnZa_oY957blzKUZUhg3arjn0V48c/view?usp=drive_link,27/09/2024
The elements of investing,Libros,https://drive.google.com/file/d/1-Gpy37BB-uUfVEH_rPziy2pftD2R9nHE/view?usp=drive_link,27/09/2024
Secretos para ganar en mercados bajistas y alcistas,Libros,https://drive.google.com/file/d/1l09mLK7v-lQ_wWMBFNEqEE7ts0D1rZte/view?usp=drive_link,27/09/2024
Outsiders,Libros,https://drive.google.com/file/d/1wxV_shDKqvfzeUnrfWoY_42lP3G_hu6H/view?usp=drive_link,27/09/2024
Multiplos y valuacion de acciones,Libros,https://drive.google.com/file/d/1qWpovel7uxRyTNQsZNnSJlMc6UU4I0eG/view?usp=drive_link,27/09/2024
Market Wizards,Libros,https://drive.google.com/file/d/196lsFlsdKWDkQhTT4XBQeACDOwWxpsBw/view?usp=drive_link,27/09/2024
"Manías, Pánicos y Cracs",Libros,https://drive.google.com/file/d/1RlKW32IMccOH0ItpKxfUzeiO83JwYqeO/view?usp=drive_link,27/09/2024
Lo mas importante para invertir con sentido comun,Libros,https://drive.google.com/file/d/1XF5-Qfw3jIZYw00gsy8u0uWBntvlR5tj/view?usp=drive_link,27/09/2024
Ladies of the Ticker,Libros,https://drive.google.com/file/d/1L84GtpGZfw4FYmJYHRO8kDE5VZFubzpk/view?usp=drive_link,27/09/2024
La bolsa o la vida,Libros,https://drive.google.com/file/d/1EzllPFjee9QjqWHV94cyClnZ-io7_C42/view?usp=drive_link,27/09/2024
Charting Made Easy,Libros,https://drive.google.com/file/d/1KbcjJPL7ycCMdz7UxwfTNcHFXY25-P_0/view?usp=drive_link,27/09/2024
Invirtiendo a largo plazo,Libros,https://drive.google.com/file/d/18PtoHpweWYdkes6RnbXMs-DQR3mIpTmM/view?usp=drive_link,27/09/2024
Golden Boys,Libros,https://drive.google.com/file/d/1IetyaBfmEj2TC74x2hv6x3LKlZpfdbBa/view?usp=drive_link,27/09/2024
Estrategias de opciones,Libros,https://drive.google.com/file/d/1DcVGvd84UEy-bxoO3E5PuLdJ7pLcftEu/view?usp=drive_link,27/09/2024
El inversor inteligente,Libros,https://drive.google.com/file/d/1MWCbURJvtqd7_oqN41fwZu0d8dM0GZmY/view?usp=drive_link,27/09/2024
El hombre mas rico de babilonia,Libros,https://drive.google.com/file/d/1r4DDIqnbe0WEgXb83vCk0zl2uWByZGYH/view?usp=drive_link,26/09/2024
El Almanaque de Naval Ravikant,Libros,https://drive.google.com/file/d/11bzMnL5gutAkTivv6E5rOu-_vmDfQYta/view?usp=drive_link,26/09/2024
Behavorial Investing,Libros,https://drive.google.com/file/d/13omlzuJh8BRoYjrfTBF005Uky-GTXemS/view?usp=drive_link,26/09/2024
Batiendo a Wall Street,Libros,https://drive.google.com/file/d/1NfDCYgFnZM2X--WlcK-8h4_17VJm8IkL/view?usp=drive_link,26/09/2024
,,,
Como pedir mas… y conseguirlo,TED,https://www.youtube.com/watch?v=bB33OBc-U6A,20/09/2024
10 formas de tener una mejor conversacion,TED,https://www.youtube.com/watch?v=R1vskiVDwl4,20/09/2024
Como hablar para que la gente quiera escucharte,TED,https://www.youtube.com/watch?v=eIho2S0ZahI,20/09/2024
Dentro de la mente de un procastinador experto,TED,https://www.youtube.com/watch?v=arj7oStGLkU,20/09/2024
,,,
CAPACITACIÓN FIRMA DIGITAL ZURICH,Administración,https://youtu.be/rxC9q0y1tiA,05/08/2021
PROCESO DIGITAL  - REPASO Y DUDAS,Administración,https://youtu.be/zmTrdch3xx4,05/08/2021
ALTA DE MATRICULA,Administración,https://youtu.be/ILh70Tj5EQ8,05/08/2021
Capacitación ADMINISTRACIÓN | Nuevos Procesos Cartera Vigente,Administración,https://youtu.be/miU0NAPtgSo,05/08/2021
Capacitación Nuevos Procesos Cartera Vigente - gestiones financieras por reproyección,Administración,https://drive.google.com/file/d/1NATb4Ix70yeYIjWP8s3I-A81TpsCVqtG/view?usp=sharing&t=600,05/08/2021
,,,
Capacitación Vida Intencional,Carácter,https://youtu.be/WG6tzGpnhYU,06/05/2021
Casos de éxito: TITI GUYOT,Carácter,https://youtu.be/v43TzEzMf-4,07/10/2021
INCORPORANDO RUTINAS DE ÉXITO,Carácter,https://youtu.be/4lkLbVvjdec,16/12/2021
"Cierre del Año, el Mundial y Rebate de Objeciones con Martin Tricio",Carácter,https://youtu.be/UzsZwu_Gvj4,17/11/2022
"Control Total, por Gonzalo Terrazas",Carácter,https://youtu.be/1UPwkNeRITA,13/10/2022
Recorro mi historia (Facundo Saparrat),Carácter,https://youtu.be/lT2thZOSHgk,02/11/2023
Modelo de Negocio - Susana Salerno,Carácter,https://youtu.be/Re_Fdm7Z9HY,09/11/2023
Preparate para crecer en 2024,Carácter,https://www.youtube.com/watch?v=L9MKLqHIhGM,04/01/2023
Comienzo dificil con Federico Radic Pollier,Carácter,https://youtu.be/rvoEhErpjwk,01/02/2023
Autosuperación: tu mejor recurso,Carácter,https://www.youtube.com/watch?v=c3eUeKEV-k4&feature=youtu.be,06/06/2024
Venta de Protección | Disparadores,Carácter,https://youtu.be/yIUzA8RhTlI,12/09/2024
"Recorro mi Historia | Benitez, Serrano, Brey, Zoanni",Carácter,https://youtu.be/U0Gdk-y-dO8,01/08/2024
Escuela de Lideres 4ta generacion,Carácter,https://www.youtube.com/watch?v=_JjJ6AeOoiE,09/08/2024
Oratoria: el arte de hablar con elocuencia a cargo de Tony Serrano,Carácter,https://www.youtube.com/watch?v=Eviqllc3NsQ,12/09/2024
Capacitación Comunidad: Alcanzar nuevos Logros,Carácter,https://youtu.be/9m22rEaCHvg,12/09/2024
,,,
Recomendados y Referidos,Método,https://youtu.be/sC1UhTcj39o,03/12/2020
2da Reunión y Cierre (Barquiza-Serrano),Método,https://youtu.be/A67iqsiP08A,03/12/2020
RECOMENDACIONES (Gallo / Zeppa),Método,https://youtu.be/chBG7M7_yM4,03/12/2020
