Categoría,Nivel,Índice,Porcentaje,Objetivo Anual (USD)
AGENTE F. JUNIOR,Nivel 1 Junior,1.5,37.5%,"30,000"
AGENTE F. JUNIOR,Nivel 2 Junior,1.7,42.5%,"37,000"
AGENTE F. JUNIOR,Nivel 3 Junior,1.85,46.25%,"50,000"
AGENTE F. JUNIOR,Nivel 4 Junior,1.95,48.75%,"70,000"
AGENTE F. JUNIOR,Nivel 5 Junior,2.0,50%,"84,000"
AGENTE F. SEMI-SENIOR,Nivel 6 Semi-Senior,2.05,51.25%,"95,000"
AGENTE F. SEMI-SENIOR,Nivel 7 Semi-Senior,2.09,52.25%,"105,000"
AGENTE F. SEMI-SENIOR,Nivel 8 Semi-Senior,2.2,55%,"115,000"
AGENTE F. SENIOR,Nivel 9 Senior,2.3,57.5%,"125,000"
AGENTE F. SENIOR,Nivel 10 Senior,2.4,60%,"140,000"
